epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,915.657,1.22633,1.5794,0.83621,1.01824,0,0.7658,0.7094,0.74328,0.50564,0.76331,0.71589,0.74332,0.46388,1.17391,1.53488,0.76305,1.01705,0,0.000557,0.000557,0.000557
30,946.073,1.24464,1.62466,0.84205,1.0417,0,0.81026,0.7146,0.74979,0.50599,0.81318,0.71341,0.74973,0.4786,1.19256,1.52394,0.76009,1.01695,0,0.00053225,0.00053225,0.00053225
31,976.044,1.24105,1.58797,0.82768,1.02757,0,0.83467,0.72632,0.77559,0.5319,0.83094,0.72569,0.77193,0.48207,1.16828,1.51425,0.72421,1.00362,0,0.0005075,0.0005075,0.0005075
32,1006.81,1.22103,1.58024,0.83292,1.01701,0,0.83748,0.72138,0.77345,0.52385,0.83555,0.72158,0.77241,0.4863,1.20295,1.53613,0.72706,1.01574,0,0.00048275,0.00048275,0.00048275
33,1036.91,1.23081,1.594,0.78902,1.02866,0,0.81784,0.74192,0.78226,0.54036,0.8067,0.75766,0.77889,0.48805,1.15882,1.51025,0.71295,1.00016,0,0.000458,0.000458,0.000458
34,1067.94,1.24517,1.58852,0.81867,1.0173,0,0.84487,0.74394,0.78777,0.54164,0.8444,0.7436,0.78542,0.50677,1.192,1.51806,0.71092,1.0081,0,0.00043325,0.00043325,0.00043325
35,1098.37,1.23693,1.56982,0.78922,1.0123,0,0.83218,0.74222,0.78448,0.53569,0.83473,0.74101,0.78371,0.4912,1.16767,1.50653,0.71343,1.00697,0,0.0004085,0.0004085,0.0004085
36,1128.77,1.20608,1.5476,0.7827,1.0155,0,0.8459,0.73487,0.78976,0.54378,0.84553,0.73355,0.78881,0.50263,1.16706,1.51394,0.69205,1.00276,0,0.00038375,0.00038375,0.00038375
37,1158.18,1.20666,1.5553,0.77216,1.01329,0,0.83304,0.75391,0.79157,0.55046,0.84928,0.73868,0.78676,0.50444,1.14762,1.48239,0.68937,0.99235,0,0.000359,0.000359,0.000359
38,1188.05,1.21344,1.5821,0.77361,1.03594,0,0.81914,0.75763,0.78503,0.5425,0.81935,0.75799,0.78233,0.49469,1.15819,1.50738,0.68485,0.9974,0,0.00033425,0.00033425,0.00033425
39,1217.47,1.20024,1.54117,0.77375,1.01811,0,0.85795,0.75448,0.80493,0.56537,0.85714,0.75564,0.80428,0.52208,1.14312,1.46778,0.67636,0.99123,0,0.0003095,0.0003095,0.0003095
40,1248.55,1.21407,1.53956,0.71593,0.98528,0,0.85533,0.75481,0.79885,0.55426,0.8568,0.7553,0.79657,0.51449,1.15155,1.47772,0.67136,0.99248,0,0.00028475,0.00028475,0.00028475
41,1277.14,1.19079,1.56219,0.83597,1.06295,0,0.85874,0.76248,0.80523,0.56515,0.85873,0.76108,0.80479,0.5197,1.14859,1.48315,0.67636,0.99324,0,0.00026,0.00026,0.00026
42,1304.87,1.22456,1.59376,0.87025,1.09498,0,0.86062,0.75073,0.80116,0.56354,0.86219,0.74515,0.7972,0.51121,1.13696,1.46835,0.69862,0.98832,0,0.00023525,0.00023525,0.00023525
43,1332.64,1.1881,1.57346,0.8087,1.08238,0,0.8603,0.76826,0.80911,0.56428,0.86313,0.76133,0.80194,0.5156,1.14208,1.47496,0.6789,0.98928,0,0.0002105,0.0002105,0.0002105
44,1360.42,1.16979,1.51976,0.81925,1.07154,0,0.84292,0.75585,0.79828,0.56065,0.84064,0.75387,0.79482,0.51532,1.1427,1.46121,0.68446,0.9918,0,0.00018575,0.00018575,0.00018575
45,1388.12,1.19523,1.5376,0.77251,1.06126,0,0.84815,0.76423,0.79559,0.55468,0.84618,0.76385,0.7921,0.5038,1.14344,1.45974,0.67749,0.99222,0,0.000161,0.000161,0.000161
46,1415.98,1.16563,1.53851,0.76403,1.06321,0,0.8473,0.77905,0.80971,0.57139,0.84749,0.77956,0.80615,0.52536,1.13916,1.47033,0.67018,0.99066,0,0.00013625,0.00013625,0.00013625
47,1444.16,1.17773,1.54341,0.76372,1.04768,0,0.87466,0.763,0.81444,0.5715,0.87963,0.75585,0.80872,0.52707,1.14219,1.47377,0.6651,0.98971,0,0.0001115,0.0001115,0.0001115
48,1472.51,1.18389,1.55135,0.75585,1.06388,0,0.87621,0.76844,0.81667,0.57999,0.87596,0.76725,0.81227,0.52955,1.13001,1.45197,0.65396,0.98382,0,8.675e-05,8.675e-05,8.675e-05
49,1500.56,1.17032,1.5236,0.74329,1.04805,0,0.84997,0.77989,0.81301,0.57804,0.8493,0.77972,0.80513,0.52651,1.1293,1.44916,0.65755,0.98341,0,6.2e-05,6.2e-05,6.2e-05
50,1528.32,1.14436,1.50034,0.7323,1.05522,0,0.87634,0.77603,0.81874,0.58239,0.87654,0.77463,0.81232,0.53138,1.12549,1.44454,0.65783,0.98282,0,3.725e-05,3.725e-05,3.725e-05
